algorithm,run,seed,noise_label,best_true_f,best_observed_f,x1,x2,feasible,evaluations,param_initial_temp,param_cooling_rate,param_step_size,param_min_temp,param_population_size,param_elite_fraction,param_crossover_rate,param_mutation_step,param_mutation_decay,param_min_mutation_step,param_tournament_size,param_initial_step,param_min_step,param_base_samples,param_max_samples,param_ambiguity_z
GA,33,20393902,hetero,-0.7201429549515328,-1.3275039774369284,0.8345557580022623,0.5509234854181381,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,33,20493905,hetero,-0.6816211929686873,-1.1716511348870169,0.8667831160325361,0.4986853013283296,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,34,20294908,hetero,-0.7074403439613437,-1.2629585244003865,0.8403114301887731,0.48805458447999167,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,34,20394911,hetero,-0.7256043317655706,-1.3371503729964176,0.8514757642204257,0.524393957769578,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,34,20494914,hetero,-0.7292620103320542,-1.1111820657773381,0.847366199466942,0.5310089679101011,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,35,20295917,hetero,-0.7249969050474083,-1.426268669652811,0.85192812514278,0.5236587339009134,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,35,20395920,hetero,-0.7033721209902113,-1.322026076721816,0.8611899173001382,0.5082833130652444,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,35,20495923,hetero,-0.7133912962975957,-1.1064002290248587,0.8574297884560486,0.5126111400525216,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,36,20296926,hetero,-0.6742303941881744,-1.242584349400372,0.8683711232065059,0.4959149043748044,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,36,20396929,hetero,-0.7280573602220402,-1.1696137285758788,0.8491810399905776,0.5281018474882669,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,36,20496932,hetero,-0.687701718484371,-0.8956045979574669,0.8058786845631164,0.5388630847139929,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,37,20297935,hetero,-0.6576681915814898,-1.2843745870043608,0.7989012106633373,0.550844681203862,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,37,20397938,hetero,-0.6409132094951456,-1.3896456451091235,0.7964242280657728,0.5585251223221737,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,37,20497941,hetero,-0.7159459369753217,-1.0771563514754394,0.8324940135720782,0.554034039898861,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,38,20298944,hetero,-0.6871112920159124,-1.3768072676103884,0.8655208353931875,0.5008729215083193,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
GA,38,20398947,hetero,-0.6866417758205178,-1.408631017535557,0.8188605121192356,0.5653430031568834,1,2000,,,,,40,0.1,0.85,0.2,0.985,0.015,3,,,,,
ARS,38,20498950,hetero,-0.7244703890836258,-1.1440947826782588,0.8522975390646629,0.5230572673276982,1,2000,0.8,0.996,,,,,,,,,,0.2,0.015,2,8,1.0
SA,39,20299953,hetero,-0.6058640498280505,-1.230098972123347,0.8059762030782285,0.5919479369603396,1,2000,1.0,0.995,0.18,0.0001,,,,,,,,,,,,
